date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:15	48576/48576	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2004:58:14%20GMT	http://www.sxxhdjn.com/xinhuidejinnuo/item_17061663_1160523.html	D:/Test/Test/www.sxxhdjn.com/xinhuidejinnuo/item_17061663_1160523.html	(from http://www.sxxhdjn.com/)
12:58:15	70512/70512	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2004:58:15%20GMT	http://www.sxxhdjn.com/xinhuidejinnuo/bk_17170712.html	D:/Test/Test/www.sxxhdjn.com/xinhuidejinnuo/bk_17170712.html	(from http://www.sxxhdjn.com/)
12:58:16	50114/50114	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2004:58:16%20GMT	http://www.sxxhdjn.com/xinhuidejinnuo/bk_17168429.html	D:/Test/Test/www.sxxhdjn.com/xinhuidejinnuo/bk_17168429.html	(from http://www.sxxhdjn.com/)
12:58:16	1787/1787	---M--	200	added ('OK')	image/gif	etag:%2250C5E3E79B276C92DF6CC52CAEB464F0%22	http://aimg8.dlszyht.net.cn/tj/public_pic/loading-wait-bg.gif	D:/Test/Test/aimg8.dlszyht.net.cn/tj/public_pic/loading-wait-bg.gif	(from http://www.sxxhdjn.com/)
12:58:17	17977/17977	---M--	200	added ('OK')	image/jpeg	etag:%22ED6D6FD683EFCEED5448FF52B6E71F57%22	http://aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10946464_1550715650.JPG?x-oss-process=image/resize,m_fixed,w_307,h_348,limit_0	D:/Test/Test/aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10946464_15507156506d92.jpg	(from http://www.sxxhdjn.com/)
12:58:21	19330/19330	---M--	200	added ('OK')	image/jpeg	etag:%2255B7357FA7C974625C07E6353AF9227C%22	http://aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10947106_1550717481.JPG?x-oss-process=image/resize,m_fixed,w_307,h_348,limit_0	D:/Test/Test/aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10947106_15507174816d92.jpg	(from http://www.sxxhdjn.com/)
12:58:23	35547/35547	---M--	200	added ('OK')	image/jpeg	etag:%22D79C2456C63D310797356B718C204DD2%22	http://aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10947046_1550717324.jpg?x-oss-process=image/resize,m_fixed,w_307,h_348,limit_0	D:/Test/Test/aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10947046_15507173246d92.jpg	(from http://www.sxxhdjn.com/)
12:58:39	92782/92782	---M--	200	added ('OK')	image/png	etag:%2294536BD9AC1479BD2E0803E56B7F3722%22	https://aimg8.dlssyht.cn/module_pic_con/800_1500/708/1415937_1649571_1524534464_9606.png?x-oss-process=image/resize,m_lfit,w_285,h_285,limit_0	D:/Test/Test/aimg8.dlssyht.cn/module_pic_con/800_1500/708/1415937_1649571_1524534464_960629ca.png	(from http://www.sxxhdjn.com/)
12:58:41	162487/162487	---M--	200	added ('OK')	image/jpeg	etag:%22ED6D6FD683EFCEED5448FF52B6E71F57%22	http://aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10946464_1550715650.JPG?t=594	D:/Test/Test/aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10946464_1550715650b9e5.jpg	(from http://www.sxxhdjn.com/)
12:58:48	180947/180947	---M--	200	added ('OK')	image/jpeg	etag:%2255B7357FA7C974625C07E6353AF9227C%22	http://aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10947106_1550717481.JPG?t=6064	D:/Test/Test/aimg8.dlszyht.net.cn/module/simplepicbackground/1649571/5474/10947106_1550717481b386.jpg	(from http://www.sxxhdjn.com/)
